"id"	"screen_name"	"name"	"location"	"description"	"created_at"	"friends"	"followers"	"statuses"	"favorites"
"2916915026"	"GovHawaii"	"HI Governor's Office"	"Honolulu, HI"	"The Official Twitter of Hawaii's Office of the Governor held by David Ige."	"Tue Dec 02 21:37:45 +0000 2014"	"444"	"599"	"117"	"32"
"2915095729"	"AkGovBillWalker"	"Governor Bill Walker"	"Alaska"	"Official Twitter page of Governor Bill Walker."	"Sun Nov 30 21:47:17 +0000 2014"	"33"	"985"	"106"	"4"
"2891165960"	"GovRicketts"	"Gov. Pete Ricketts"	""	"40th Governor of Nebraska"	"Wed Nov 05 21:15:44 +0000 2014"	"1"	"740"	"39"	"4"
"2666591852"	"NDGovDalrymple"	"Jack Dalrymple"	"Bismarck, ND"	"Jack Dalrymple is the 32nd Governor of the great state of North Dakota."	"Mon Jul 21 17:21:21 +0000 2014"	"26"	"332"	"156"	"19"
"2303719598"	"GovMattMead"	"Governor Matt Mead"	"Wyoming"	"Official Twitter Account of Governor Matt Mead. Wyoming's 32nd Governor. http://t.co/ffUVx18jJp"	"Tue Jan 21 21:14:54 +0000 2014"	"17"	"1341"	"206"	"0"
"1321432124"	"WolfForPA"	"Tom Wolf"	"Pennsylvania"	"Official account of Tom Wolf for Governor. Tweets from Tom Wolf are signed -TW."	"Tue Apr 02 00:29:01 +0000 2013"	"533"	"10187"	"1581"	"131"
"1077214808"	"GovInslee"	"Governor Jay Inslee"	"Olympia, WA"	"Governor of WA. Tweets on innovation, jobs, education, clean energy & my grandkids. Building a WA that works for everyone. RTs & follows ≠ endorsement"	"Thu Jan 10 17:38:35 +0000 2013"	"481"	"15530"	"1845"	"1650"
"1004855106"	"BruceRauner"	"Bruce Rauner"	"Illinois"	"Diana's husband, proud Dad of six, now Governor of Illinois."	"Tue Dec 11 20:49:43 +0000 2012"	"64"	"19654"	"1489"	"6"
"946549322"	"GovernorHassan"	"Gov. Maggie Hassan"	"Concord, NH"	"Official Twitter account of the Office of New Hampshire Governor Maggie Hassan. Tweets are by office staff."	"Tue Nov 13 21:27:37 +0000 2012"	"527"	"8379"	"1645"	"0"
"637143497"	"Governor_LePage"	"Paul R. LePage"	"Augusta, Maine"	"The official tweets of Governor Paul LePage.  Retweets and follows are not endorsements."	"Mon Jul 16 17:40:36 +0000 2012"	"253"	"4111"	"1566"	"31"
"607332953"	"GovTomblin"	"Governor Tomblin"	""	"The official Twitter account of West Virginia Governor Earl Ray Tomblin."	"Wed Jun 13 16:08:01 +0000 2012"	"98"	"6038"	"1671"	"0"
"280121510"	"ChangeMaryland"	"Change Maryland"	"Annapolis, MD"	"Bringing fiscal restraint & common sense to MD! | Auth: Hogan For Governor, R. Chris Rosenthal, Treas."	"Sun Apr 10 17:42:54 +0000 2011"	"967"	"5465"	"5253"	"4872"
